file_id_namespace	file_id	subject_id_namespace	subject_id
https://gtexportal.org	GTEX-S95S-1326-SM-2XCDK	https://gtexportal.org	GTEX-S95S
https://gtexportal.org	GTEX-XXEK-0008-SM-4BRW7	https://gtexportal.org	GTEX-XXEK
https://gtexportal.org	GTEX-ZE9C-3026-SM-4WKHB	https://gtexportal.org	GTEX-ZE9C
https://gtexportal.org	GTEX-146FR-1626-SM-5Q5DS	https://gtexportal.org	GTEX-146FR
https://gtexportal.org	GTEX-14PK6-1126-SM-5YY93	https://gtexportal.org	GTEX-14PK6
https://gtexportal.org	GTEX-1128S-2826-SM-5N9DI	https://gtexportal.org	GTEX-1128S
https://gtexportal.org	GTEX-139TU-0006-SM-5LZVN	https://gtexportal.org	GTEX-139TU
https://gtexportal.org	GTEX-S3XE-0526-SM-4AD4G	https://gtexportal.org	GTEX-S3XE
https://gtexportal.org	GTEX-WXYG-0926-SM-3NB2O	https://gtexportal.org	GTEX-WXYG
https://gtexportal.org	GTEX-P78B-0426-SM-2I5F5	https://gtexportal.org	GTEX-P78B
https://gtexportal.org	GTEX-XQ8I-1126-SM-4BOO2	https://gtexportal.org	GTEX-XQ8I
https://gtexportal.org	GTEX-12WSA-0011-R5b-SM-5GU5I	https://gtexportal.org	GTEX-12WSA
https://gtexportal.org	GTEX-U8T8-0126-SM-3DB94	https://gtexportal.org	GTEX-U8T8
https://gtexportal.org	GTEX-11WQC-2626-SM-5CVLF	https://gtexportal.org	GTEX-11WQC
https://gtexportal.org	GTEX-ZXES-0926-SM-5E43O	https://gtexportal.org	GTEX-ZXES
https://gtexportal.org	GTEX-12696-2626-SM-5EQ44	https://gtexportal.org	GTEX-12696
https://gtexportal.org	GTEX-P44G-0011-R2A-SM-2XCD2	https://gtexportal.org	GTEX-P44G
https://gtexportal.org	GTEX-1212Z-0126-SM-59HK4	https://gtexportal.org	GTEX-1212Z
https://gtexportal.org	GTEX-145MH-2926-SM-5Q5D2	https://gtexportal.org	GTEX-145MH
https://gtexportal.org	GTEX-S95S-1126-SM-4B64E	https://gtexportal.org	GTEX-S95S
https://gtexportal.org	GTEX-145LS-2926-SM-5O99G	https://gtexportal.org	GTEX-145LS
https://gtexportal.org	GTEX-ZT9W-0008-SM-4YCDJ	https://gtexportal.org	GTEX-ZT9W
https://gtexportal.org	K-562-SM-4W1Y5	https://gtexportal.org	K-562
https://gtexportal.org	GTEX-11DXX-2026-SM-5EGJL	https://gtexportal.org	GTEX-11DXX
https://gtexportal.org	GTEX-ZF29-0002-SM-4WKF2	https://gtexportal.org	GTEX-ZF29
https://gtexportal.org	GTEX-YEC3-0005-SM-4W21J	https://gtexportal.org	GTEX-YEC3
https://gtexportal.org	GTEX-ZAB4-0526-SM-5HL7Z	https://gtexportal.org	GTEX-ZAB4
https://gtexportal.org	GTEX-ZXES-1126-SM-5GZXN	https://gtexportal.org	GTEX-ZXES
https://gtexportal.org	GTEX-XAJ8-0326-SM-47JYI	https://gtexportal.org	GTEX-XAJ8
https://gtexportal.org	GTEX-UPJH-0002-SM-5SOE9	https://gtexportal.org	GTEX-UPJH
https://gtexportal.org	GTEX-T5JC-0001-SM-3NMAK	https://gtexportal.org	GTEX-T5JC
https://gtexportal.org	GTEX-R53T-1126-SM-48FD4	https://gtexportal.org	GTEX-R53T
https://gtexportal.org	GTEX-ZDXO-0011-R6a-SM-4WWCT	https://gtexportal.org	GTEX-ZDXO
https://gtexportal.org	GTEX-ZE7O-3126-SM-5HL5X	https://gtexportal.org	GTEX-ZE7O
https://gtexportal.org	GTEX-Z93T-0226-SM-5HL5Z	https://gtexportal.org	GTEX-Z93T
https://gtexportal.org	GTEX-11EI6-0226-SM-5EQ64	https://gtexportal.org	GTEX-11EI6
https://gtexportal.org	GTEX-13O3Q-2526-SM-5IJC4	https://gtexportal.org	GTEX-13O3Q
https://gtexportal.org	GTEX-OXRL-0426-SM-3NM97	https://gtexportal.org	GTEX-OXRL
https://gtexportal.org	GTEX-PSDG-0526-SM-2S1OH	https://gtexportal.org	GTEX-PSDG
https://gtexportal.org	GTEX-13O61-0526-SM-5J2M1	https://gtexportal.org	GTEX-13O61
https://gtexportal.org	GTEX-XMK1-0001-SM-4B64F	https://gtexportal.org	GTEX-XMK1
https://gtexportal.org	GTEX-ZF2S-0626-SM-4WKH2	https://gtexportal.org	GTEX-ZF2S
https://gtexportal.org	GTEX-16AAH-1426-SM-7KFTR	https://gtexportal.org	GTEX-16AAH
https://gtexportal.org	GTEX-XPVG-1526-SM-4B66C	https://gtexportal.org	GTEX-XPVG
https://gtexportal.org	GTEX-QV31-0326-SM-447BM	https://gtexportal.org	GTEX-QV31
https://gtexportal.org	GTEX-PWOO-2026-SM-48TDE	https://gtexportal.org	GTEX-PWOO
https://gtexportal.org	GTEX-14A5I-1326-SM-5SIAQ	https://gtexportal.org	GTEX-14A5I
https://gtexportal.org	GTEX-12WSH-0011-R10a-SM-5LZUS	https://gtexportal.org	GTEX-12WSH
https://gtexportal.org	GTEX-RNOR-0001-SM-5URCF	https://gtexportal.org	GTEX-RNOR
https://gtexportal.org	GTEX-WHWD-1426-SM-4OORU	https://gtexportal.org	GTEX-WHWD
https://gtexportal.org	GTEX-ZAB4-0011-R8b-SM-4SOKF	https://gtexportal.org	GTEX-ZAB4
https://gtexportal.org	GTEX-1F6IF-0526-SM-7MKHD	https://gtexportal.org	GTEX-1F6IF
https://gtexportal.org	GTEX-17GQL-0726-SM-731BL	https://gtexportal.org	GTEX-17GQL
